time_sec,thrust_N
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.19,0.0
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,0.0
0.27,0.0
0.28,0.0
0.29,0.0
0.3,0.0
0.31,0.0
0.32,0.0
0.33,0.0
0.34,0.0
0.35,0.0
0.36,0.0
0.37,0.0
0.38,0.0
0.39,0.0
0.4,0.0
0.41,0.0
0.42,0.0
0.43,0.0
0.44,0.0
0.45,0.0
0.46,0.0
0.47,0.0
0.48,0.0
0.49,0.0
0.5,0.0
0.51,0.0
0.52,0.0
0.53,0.0
0.54,0.0
0.55,0.0
0.56,0.0
0.57,0.0
0.58,0.0
0.59,0.0
0.6,0.0
0.61,0.0
0.62,0.0
0.63,0.0
0.64,0.0
0.65,0.0
0.66,0.0
0.67,0.0
0.68,0.0
0.69,0.0
0.7,0.0
0.71,0.0
0.72,0.0
0.73,0.0
0.74,0.0
0.75,0.0
0.76,0.0
0.77,0.0
0.78,0.0
0.79,0.25536835489042214
0.8,0.0
0.81,0.0
0.82,0.0
0.83,0.0
0.84,0.0
0.85,0.0
0.86,0.0
0.87,0.0
0.88,0.0
0.89,0.0
0.9,0.0
0.91,0.0
0.92,0.0
0.93,0.0
0.94,0.0
0.95,0.0
0.96,2.6658588131469743
0.97,9.29199791948332
0.98,18.934312227809592
0.99,31.52098489573943
1.0,46.29674947407827
1.01,63.30509260297049
1.02,81.51189581146494
1.03,101.01611654005224
1.04,120.27708525218857
1.05,140.32213526929897
1.06,159.85217481361533
1.07,179.23990245553424
1.08,198.85801676545205
1.09,217.91974881423184
1.1,235.78738266524755
1.11,252.60944259806027
1.12,268.4923320938744
1.13,283.6225105864193
1.14,297.174436863552
1.15,309.69365457093363
1.16,320.5360150977123
1.17,330.4982448002518
1.18,339.50738129144025
1.19,347.13424183404754
1.2,352.0902648498946
1.21,354.1462092157075
1.22,355.5332435808395
1.23,356.06759613572405
1.24,355.27153067054803
1.25,353.78545074610037
1.26,351.5621246721735
1.27,349.7779387627035
1.28,348.71866236721087
1.29,347.00342943831436
1.3,345.4327554418533
1.31,344.019285429217
1.32,343.1859457010601
1.33,342.2105143675682
1.34,339.7212456797492
1.35,337.48690475269547
1.36,335.41064899771686
1.37,332.7662471184608
1.38,330.1225061303923
1.39,326.75319473715905
1.4,325.40449206090796
1.41,324.1974403958669
1.42,321.2530820362633
1.43,319.31759610424444
1.44,316.88445910795934
